Date,Location,Time of Day,Day of Week,Number of Crimes
1/24/19,Pacific,0,Weekday,0
1/24/19,Pacific,600,Weekday,0
1/24/19,Pacific,1200,Weekday,0
1/24/19,Pacific,1800,Weekday,1
1/24/19,Southwest,0,Weekday,0
1/24/19,Southwest,600,Weekday,2
1/24/19,Southwest,1200,Weekday,2
1/24/19,Southwest,1800,Weekday,3
1/24/19,West LA,0,Weekday,1
1/24/19,West LA,600,Weekday,2
1/24/19,West LA,1200,Weekday,0
1/24/19,West LA,1800,Weekday,6
1/25/19,77th Street,0,Weekday,0
1/25/19,77th Street,600,Weekday,1
1/25/19,77th Street,1200,Weekday,1
1/25/19,77th Street,1800,Weekday,2
1/25/19,Devonshire,0,Weekday,2
1/25/19,Devonshire,600,Weekday,1
1/25/19,Devonshire,1200,Weekday,3
1/25/19,Devonshire,1800,Weekday,0
1/25/19,Hollywood,0,Weekday,0
1/25/19,Hollywood,600,Weekday,1
1/25/19,Hollywood,1200,Weekday,1
1/25/19,Hollywood,1800,Weekday,0
1/25/19,N Hollywood,0,Weekday,0
1/25/19,N Hollywood,600,Weekday,1
1/25/19,N Hollywood,1200,Weekday,3
1/25/19,N Hollywood,1800,Weekday,3
1/25/19,Pacific,0,Weekday,0
1/25/19,Pacific,600,Weekday,0
1/25/19,Pacific,1200,Weekday,2
1/25/19,Pacific,1800,Weekday,1
1/25/19,Southwest,0,Weekday,2
1/25/19,Southwest,600,Weekday,5
1/25/19,Southwest,1200,Weekday,0
1/25/19,Southwest,1800,Weekday,2
1/25/19,West LA,0,Weekday,0
1/25/19,West LA,600,Weekday,2
1/25/19,West LA,1200,Weekday,1
1/25/19,West LA,1800,Weekday,5
1/26/19,77th Street,0,Weekend,1
1/26/19,77th Street,600,Weekend,0
1/26/19,77th Street,1200,Weekend,3
1/26/19,77th Street,1800,Weekend,1
1/26/19,Devonshire,0,Weekend,0
1/26/19,Devonshire,600,Weekend,0
1/26/19,Devonshire,1200,Weekend,2
1/26/19,Devonshire,1800,Weekend,2
1/26/19,Hollywood,0,Weekend,1
1/26/19,Hollywood,600,Weekend,1
1/26/19,Hollywood,1200,Weekend,4
1/26/19,Hollywood,1800,Weekend,3
1/26/19,N Hollywood,0,Weekend,1
1/26/19,N Hollywood,600,Weekend,0
1/26/19,N Hollywood,1200,Weekend,1
1/26/19,N Hollywood,1800,Weekend,1
1/26/19,Pacific,0,Weekend,2
1/26/19,Pacific,600,Weekend,1
1/26/19,Pacific,1200,Weekend,1
1/26/19,Pacific,1800,Weekend,3
1/26/19,Southwest,0,Weekend,1
1/26/19,Southwest,600,Weekend,1
1/26/19,Southwest,1200,Weekend,3
1/26/19,Southwest,1800,Weekend,2
1/26/19,West LA,0,Weekend,2
1/26/19,West LA,600,Weekend,1
1/26/19,West LA,1200,Weekend,2
1/26/19,West LA,1800,Weekend,3
1/27/19,77th Street,0,Weekend,0
1/27/19,77th Street,600,Weekend,1
1/27/19,77th Street,1200,Weekend,1
1/27/19,77th Street,1800,Weekend,2
1/27/19,Devonshire,0,Weekend,2
1/27/19,Devonshire,600,Weekend,0
1/27/19,Devonshire,1200,Weekend,0
1/27/19,Devonshire,1800,Weekend,2
1/27/19,Hollywood,0,Weekend,0
1/27/19,Hollywood,600,Weekend,0
1/27/19,Hollywood,1200,Weekend,2
1/27/19,Hollywood,1800,Weekend,1
1/27/19,N Hollywood,0,Weekend,1
1/27/19,N Hollywood,600,Weekend,1
1/27/19,N Hollywood,1200,Weekend,0
1/27/19,N Hollywood,1800,Weekend,2
1/27/19,Pacific,0,Weekend,0
1/27/19,Pacific,600,Weekend,0
1/27/19,Pacific,1200,Weekend,2
1/27/19,Pacific,1800,Weekend,0
1/27/19,Southwest,0,Weekend,0
1/27/19,Southwest,600,Weekend,0
1/27/19,Southwest,1200,Weekend,3
1/27/19,Southwest,1800,Weekend,4
1/27/19,West LA,0,Weekend,2
1/27/19,West LA,600,Weekend,0
1/27/19,West LA,1200,Weekend,1
1/27/19,West LA,1800,Weekend,1
1/28/19,77th Street,0,Weekday,0
1/28/19,77th Street,600,Weekday,1
1/28/19,77th Street,1200,Weekday,1
1/28/19,77th Street,1800,Weekday,3
1/28/19,Devonshire,0,Weekday,1
1/28/19,Devonshire,600,Weekday,1
1/28/19,Devonshire,1200,Weekday,3
1/28/19,Devonshire,1800,Weekday,3
1/28/19,Hollywood,0,Weekday,0
1/28/19,Hollywood,600,Weekday,0
1/28/19,Hollywood,1200,Weekday,1
1/28/19,Hollywood,1800,Weekday,2
1/28/19,N Hollywood,0,Weekday,1
1/28/19,N Hollywood,600,Weekday,1
1/28/19,N Hollywood,1200,Weekday,2
1/28/19,N Hollywood,1800,Weekday,1
1/28/19,Pacific,0,Weekday,0
1/28/19,Pacific,600,Weekday,2
1/28/19,Pacific,1200,Weekday,1
1/28/19,Pacific,1800,Weekday,3
1/28/19,Southwest,0,Weekday,2
1/28/19,Southwest,600,Weekday,0
1/28/19,Southwest,1200,Weekday,0
1/28/19,Southwest,1800,Weekday,5
1/28/19,West LA,0,Weekday,0
1/28/19,West LA,600,Weekday,0
1/28/19,West LA,1200,Weekday,1
1/28/19,West LA,1800,Weekday,0
1/29/19,77th Street,0,Weekend,1
1/29/19,77th Street,600,Weekday,1
1/29/19,77th Street,1200,Weekday,1
1/29/19,77th Street,1800,Weekday,2
1/29/19,Devonshire,0,Weekday,1
1/29/19,Devonshire,600,Weekday,0
1/29/19,Devonshire,1200,Weekday,3
1/29/19,Devonshire,1800,Weekday,2
1/29/19,Hollywood,0,Weekday,1
1/29/19,Hollywood,600,Weekday,0
1/29/19,Hollywood,1200,Weekday,2
1/29/19,Hollywood,1800,Weekday,8
1/29/19,N Hollywood,0,Weekday,0
1/29/19,N Hollywood,600,Weekday,0
1/29/19,N Hollywood,1200,Weekday,1
1/29/19,N Hollywood,1800,Weekday,0
1/29/19,Pacific,0,Weekday,0
1/29/19,Pacific,600,Weekday,5
1/29/19,Pacific,1200,Weekday,1
1/29/19,Pacific,1800,Weekday,2
1/29/19,Southwest,0,Weekday,1
1/29/19,Southwest,600,Weekday,2
1/29/19,Southwest,1200,Weekday,3
1/29/19,Southwest,1800,Weekday,1
1/29/19,West LA,0,Weekday,0
1/29/19,West LA,600,Weekday,1
1/29/19,West LA,1200,Weekday,2
1/29/19,West LA,1800,Weekday,6
1/30/19,77th Street,0,Weekday,1
1/30/19,77th Street,600,Weekday,2
1/30/19,77th Street,1200,Weekday,0
1/30/19,77th Street,1800,Weekday,1
1/30/19,Devonshire,0,Weekday,0
1/30/19,Devonshire,600,Weekday,1
1/30/19,Devonshire,1200,Weekday,1
1/30/19,Devonshire,1800,Weekday,1
1/30/19,Hollywood,0,Weekday,0
1/30/19,Hollywood,600,Weekday,0
1/30/19,Hollywood,1200,Weekday,0
1/30/19,Hollywood,1800,Weekday,4
1/30/19,N Hollywood,0,Weekday,1
1/30/19,N Hollywood,600,Weekday,1
1/30/19,N Hollywood,1200,Weekday,1
1/30/19,N Hollywood,1800,Weekday,4
1/30/19,Pacific,0,Weekday,0
1/30/19,Pacific,600,Weekday,0
1/30/19,Pacific,1200,Weekday,0
1/30/19,Pacific,1800,Weekday,3
1/30/19,Southwest,0,Weekday,2
1/30/19,Southwest,600,Weekday,1
1/30/19,Southwest,1200,Weekday,1
1/30/19,Southwest,1800,Weekday,6
1/30/19,West LA,0,Weekday,0
1/30/19,West LA,600,Weekday,2
1/30/19,West LA,1200,Weekday,1
1/30/19,West LA,1800,Weekday,0
1/31/19,77th Street,0,Weekday,0
1/31/19,77th Street,600,Weekday,1
1/31/19,77th Street,1200,Weekday,3
1/31/19,77th Street,1800,Weekday,1
1/31/19,Devonshire,0,Weekday,1
1/31/19,Devonshire,600,Weekday,0
1/31/19,Devonshire,1200,Weekday,0
1/31/19,Devonshire,1800,Weekday,0
1/31/19,Hollywood,0,Weekday,1
1/31/19,Hollywood,600,Weekday,2
1/31/19,Hollywood,1200,Weekday,2
1/31/19,Hollywood,1800,Weekday,3
1/31/19,N Hollywood,0,Weekday,0
1/31/19,N Hollywood,600,Weekday,0
1/31/19,N Hollywood,1200,Weekday,1
1/31/19,N Hollywood,1800,Weekday,1
1/31/19,Pacific,0,Weekday,2
1/31/19,Pacific,600,Weekday,0
1/31/19,Pacific,1200,Weekday,1
1/31/19,Pacific,1800,Weekday,1
1/31/19,Southwest,0,Weekday,1
1/31/19,Southwest,600,Weekday,3
1/31/19,Southwest,1200,Weekday,1
1/31/19,Southwest,1800,Weekday,2
1/31/19,West LA,0,Weekday,0
1/31/19,West LA,600,Weekday,0
1/31/19,West LA,1200,Weekday,0
1/31/19,West LA,1800,Weekday,1
